Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770302332,130,POST,POST /upload,45.500000,0.000000,49,50,51,52,55,57,59,61,69,69,69,863,0,49,51.53889849361693,26.2710000001789,123.06330000001253,259.79721900347624
1770302332,130,,Aggregated,91.600000,0.000000,16,47,49,49,52,54,57,59,66,69,69,1734,0,26,27.843727566318815,1.1173999996572093,123.06330000001253,245.33217993079586
1770302333,135,GET,GET /,48.400000,0.000000,2,3,3,4,6,10,13,15,21,21,21,935,0,3,4.238777219258498,1.1173999996572093,55.825199999617325,231.0
1770302333,135,POST,POST /upload,47.900000,0.000000,49,50,51,52,54,57,59,61,69,69,69,935,0,49,51.29981957218117,26.2710000001789,123.06330000001253,259.8053475935829
1770302333,135,,Aggregated,96.300000,0.000000,44,47,49,49,52,54,57,59,66,69,69,1870,0,44,27.76929839571985,1.1173999996572093,123.06330000001253,245.40267379679145
1770302334,140,GET,GET /,50.500000,0.000000,2,3,3,4,7,11,14,17,21,21,21,1007,0,3,4.267174776572431,1.1173999996572093,55.825199999617325,231.0
1770302334,140,POST,POST /upload,50.000000,0.000000,49,50,51,52,55,58,62,72,75,75,75,1000,0,49,51.38916129999048,26.2710000001789,123.06330000001253,259.755
1770302334,140,,Aggregated,100.500000,0.000000,21,47,49,49,52,55,59,62,74,75,75,2007,0,28,27.745992177378646,1.1173999996572093,123.06330000001253,245.3273542600897
1770302335,145,GET,GET /,52.700000,0.000000,2,3,3,4,7,11,15,17,21,21,21,1077,0,3,4.203401021361665,1.1173999996572093,55.825199999617325,231.0
1770302335,145,POST,POST /upload,52.000000,0.000000,49,50,51,52,55,59,63,72,75,75,75,1072,0,49,51.315834235066,26.2710000001789,123.06330000001253,259.7649253731343
1770302335,145,,Aggregated,104.700000,0.000000,44,48,49,50,52,55,60,63,74,75,75,2149,0,30,27.704810237318423,1.1173999996572093,123.06330000001253,245.34899953466729
1770302336,150,GET,GET /,55.800000,0.000000,2,3,3,4,7,11,14,17,21,21,21,1158,0,3,4.1185615716789945,1.1173999996572093,55.825199999617325,231.0
1770302336,150,POST,POST /upload,54.700000,0.000000,49,50,51,52,55,60,63,70,75,75,75,1154,0,49,51.158105892539524,26.2710000001789,123.06330000001253,259.78162911611787
1770302336,150,,Aggregated,110.500000,0.000000,44,47,49,50,52,55,61,63,74,75,75,2312,0,30,27.597642084772882,1.1173999996572093,123.06330000001253,245.3659169550173
1770302337,155,GET,GET /,58.700000,0.000000,2,3,3,3,6,11,14,15,21,21,21,1237,0,3,4.041110670980448,1.1173999996572093,55.825199999617325,231.0
1770302337,155,POST,POST /upload,57.800000,0.000000,48,50,52,52,55,60,62,70,75,75,75,1236,0,49,51.06569368931364,26.2710000001789,123.06330000001253,259.77912621359224
1770302337,155,,Aggregated,116.500000,0.000000,44,47,48,49,52,55,61,62,74,75,75,2473,0,43,27.54389458147778,1.1173999996572093,123.06330000001253,245.38374443995147
1770302338,160,GET,GET /,59.600000,0.000000,2,3,3,3,6,11,14,18,22,22,22,1313,0,3,4.029974790558563,1.1173999996572093,55.825199999617325,231.0
1770302338,160,POST,POST /upload,59.800000,0.000000,48,50,51,52,55,59,62,70,75,75,75,1304,0,49,50.92931042944257,26.2710000001789,123.06330000001253,259.77453987730064
1770302338,160,,Aggregated,119.400000,0.000000,21,47,48,49,52,55,61,62,74,75,75,2617,0,26,27.39899797477896,1.1173999996572093,123.06330000001253,245.33779136415743
1770302339,165,GET,GET /,63.500000,0.000000,2,3,3,3,6,10,14,17,22,22,22,1394,0,3,3.9485573170752137,1.1173999996572093,55.825199999617325,231.0
1770302339,165,POST,POST /upload,63.100000,0.000000,48,50,51,52,55,58,62,66,75,75,75,1386,0,49,50.82684956709488,26.2710000001789,123.06330000001253,259.7878787878788
1770302339,165,,Aggregated,126.600000,0.000000,43,47,48,49,52,55,60,62,74,75,75,2780,0,26,27.320252661869223,1.1173999996572093,123.06330000001253,245.3525179856115
1770302340,170,GET,GET /,65.700000,0.000000,2,3,3,3,5,10,14,17,22,22,22,1486,0,3,3.8959401076733413,1.1173999996572093,55.825199999617325,231.0
1770302340,170,POST,POST /upload,66.000000,0.000000,48,50,51,52,55,58,62,66,75,75,75,1478,0,49,50.737349594041625,26.2710000001789,123.06330000001253,259.79634641407307
1770302340,170,,Aggregated,131.700000,0.000000,43,47,48,49,52,55,60,62,74,75,75,2964,0,26,27.25343107287319,1.1173999996572093,123.06330000001253,245.3593117408907
1770302341,175,GET,GET /,67.700000,0.000000,2,3,3,3,5,10,15,17,22,22,22,1562,0,3,3.891161267606741,1.1173999996572093,55.825199999617325,231.0
1770302341,175,POST,POST /upload,67.200000,0.000000,48,50,51,52,55,57,62,66,75,75,75,1553,0,49,50.66272472633133,26.2710000001789,123.06330000001253,259.7926593689633
1770302341,175,,Aggregated,134.900000,0.000000,22,47,48,49,52,55,60,62,74,75,75,3115,0,26,27.20937573033526,1.1173999996572093,123.06330000001253,245.35473515248796
1770302342,180,GET,GET /,70.800000,0.000000,2,3,3,3,5,10,14,17,22,22,22,1630,0,3,3.8428517177917287,1.1173999996572093,55.825199999617325,231.0
1770302342,180,POST,POST /upload,70.700000,0.000000,48,50,51,52,55,58,62,66,75,75,75,1627,0,49,50.62452630607965,26.2710000001789,123.06330000001253,259.78918254456056
1770302342,180,,Aggregated,141.500000,0.000000,44,47,48,49,52,55,60,62,74,75,75,3257,0,36,27.21214387472892,1.1173999996572093,123.06330000001253,245.38133251458396
1770302343,185,GET,GET /,73.800000,0.000000,2,3,3,3,5,9,14,15,22,22,22,1736,0,3,3.7701845622139816,1.1173999996572093,55.825199999617325,231.0
1770302343,185,POST,POST /upload,73.700000,0.000000,48,50,51,52,55,59,62,70,75,75,75,1733,0,49,50.54749232544084,26.2710000001789,123.06330000001253,259.7859203693018
1770302343,185,,Aggregated,147.500000,0.000000,44,47,48,49,52,55,60,62,74,75,75,3469,0,36,27.138611876619336,1.1173999996572093,123.06330000001253,245.3805131161718
1770302344,190,GET,GET /,75.300000,0.000000,2,3,3,3,5,9,14,18,33,33,33,1825,0,3,3.8196032328786003,1.1173999996572093,55.825199999617325,231.0
1770302344,190,POST,POST /upload,74.800000,0.000000,48,50,51,52,55,58,61,62,75,75,75,1822,0,49,50.56642036223353,26.2710000001789,123.06330000001253,259.79637760702525
1770302344,190,,Aggregated,150.100000,0.000000,44,47,48,49,52,55,59,61,73,75,75,3647,0,36,27.173784973949278,1.1173999996572093,123.06330000001253,245.38634494104744
1770302345,195,GET,GET /,76.500000,0.000000,2,3,3,4,5,9,16,18,33,33,33,1919,0,3,3.83291193329825,1.1173999996572093,55.825199999617325,231.0
1770302345,195,POST,POST /upload,76.200000,0.000000,48,50,51,52,55,58,61,62,75,75,75,1911,0,49,50.53263401360055,26.2710000001789,123.06330000001253,259.8021978021978
1770302345,195,,Aggregated,152.700000,0.000000,33,47,48,49,52,55,58,61,73,75,75,3830,0,28,27.134000417751988,1.1173999996572093,123.06330000001253,245.3710182767624
1770302347,200,GET,GET /,81.000000,0.000000,2,3,3,3,5,9,15,17,33,33,33,2029,0,3,3.7820609167072567,1.1173999996572093,55.825199999617325,231.0
1770302347,200,POST,POST /upload,81.700000,0.000000,49,50,51,52,54,56,59,61,75,75,75,2019,0,49,50.45823650321433,26.2710000001789,123.06330000001253,259.80584447746406
1770302347,200,,Aggregated,162.700000,0.000000,25,47,49,50,52,54,57,59,73,75,75,4048,0,26,27.06249533102492,1.1173999996572093,123.06330000001253,245.3673418972332
1770302348,205,GET,GET /,83.700000,0.000000,2,3,3,3,5,9,15,17,33,33,33,2114,0,3,3.7381934247867394,1.1173999996572093,55.825199999617325,231.0
1770302348,205,POST,POST /upload,83.500000,0.000000,49,50,51,52,54,56,59,61,75,75,75,2106,0,49,50.412208452035415,26.2710000001789,123.06330000001253,259.80389363722696
1770302348,205,,Aggregated,167.200000,0.000000,43,47,49,50,52,54,58,59,73,75,75,4220,0,28,27.03096016587344,1.1173999996572093,123.06330000001253,245.37464454976302
1770302349,210,GET,GET /,83.700000,0.000000,2,3,3,3,5,9,14,17,33,33,33,2222,0,2,3.6702041854189185,1.1173999996572093,55.825199999617325,231.0
1770302349,210,POST,POST /upload,83.500000,0.000000,49,50,51,52,54,56,59,61,75,75,75,2218,0,49,50.34169071234623,26.2710000001789,123.06330000001253,259.80117222723175
1770302349,210,,Aggregated,167.200000,0.000000,43,47,49,50,52,54,57,59,73,75,75,4440,0,33,26.98492425675337,1.1173999996572093,123.06330000001253,245.3876126126126
1770302350,215,GET,GET /,86.600000,0.000000,2,3,3,3,4,9,14,17,33,33,33,2324,0,2,3.6409847676417963,1.1173999996572093,55.825199999617325,231.0
1770302350,215,POST,POST /upload,86.900000,0.000000,49,50,51,52,54,56,59,61,75,75,75,2321,0,49,50.321309090900805,26.2710000001789,123.06330000001253,259.79190004308487
1770302350,215,,Aggregated,173.500000,0.000000,44,47,49,50,52,54,57,59,73,75,75,4645,0,36,26.966072551126068,1.1173999996572093,123.06330000001253,245.38665231431648
1770302351,220,GET,GET /,90.700000,0.000000,2,3,3,3,4,9,15,17,33,33,33,2428,0,2,3.6283135090604883,1.1173999996572093,55.825199999617325,231.0
1770302351,220,POST,POST /upload,91.300000,0.000000,49,50,51,52,54,56,59,61,75,75,75,2421,0,49,50.270006030557774,26.2710000001789,123.06330000001253,259.786038826931
1770302351,220,,Aggregated,182.000000,0.000000,43,47,49,50,52,54,57,59,73,75,75,4849,0,30,26.91549387502156,1.1173999996572093,123.06330000001253,245.37224169931946
1770302352,225,GET,GET /,92.400000,0.000000,2,3,3,3,4,9,15,17,33,33,33,2546,0,2,3.5973441476828145,1.1173999996572093,55.825199999617325,231.0
1770302352,225,POST,POST /upload,92.900000,0.000000,49,51,51,52,54,56,58,60,75,75,75,2536,0,49,50.24858781544955,26.2710000001789,123.06330000001253,259.77917981072557
1770302352,225,,Aggregated,185.300000,0.000000,43,47,49,50,52,54,57,58,73,75,75,5082,0,26,26.87706747343189,1.1173999996572093,123.06330000001253,245.3612750885478
1770302353,230,GET,GET /,93.500000,0.000000,2,3,3,3,4,9,14,17,33,33,33,2656,0,2,3.5651789909654683,1.1173999996572093,55.825199999617325,231.0
1770302353,230,POST,POST /upload,93.900000,0.000000,49,51,52,52,54,57,59,61,75,75,75,2646,0,49,50.28568949356805,26.2710000001789,123.06330000001253,259.77513227513225
1770302353,230,,Aggregated,187.400000,0.000000,25,48,49,50,52,54,57,59,73,75,75,5302,0,26,26.881374915123697,1.1173999996572093,123.06330000001253,245.36043002640514
1770302354,235,GET,GET /,97.400000,0.000000,2,3,3,3,4,7,12,15,18,18,18,2772,0,2,3.550988924965819,1.1173999996572093,55.825199999617325,231.0
1770302354,235,POST,POST /upload,98.100000,0.000000,49,51,52,53,55,57,62,90,110,110,110,2767,0,49,50.50296949764378,26.2710000001789,123.06330000001253,259.77737621973256
1770302354,235,,Aggregated,195.500000,0.000000,44,48,49,50,53,55,58,62,110,110,110,5539,0,33,27.00578766925185,1.1173999996572093,123.06330000001253,245.3756995847626
1770302355,240,GET,GET /,101.200000,0.000000,2,3,3,3,4,6,12,14,42,42,42,2888,0,2,3.5463865650988917,1.1173999996572093,55.825199999617325,231.0
1770302355,240,POST,POST /upload,101.700000,0.000000,49,51,52,52,55,57,74,90,110,110,110,2878,0,49,50.52587585127807,26.2710000001789,123.06330000001253,259.77866574009727
1770302355,240,,Aggregated,202.900000,0.000000,42,48,49,50,52,55,59,74,110,110,110,5766,0,28,26.995392837319535,1.1173999996572093,123.06330000001253,245.36437738466876
1770302356,245,GET,GET /,103.200000,0.000000,2,3,3,3,4,6,12,14,42,42,42,3007,0,2,3.510216295313227,1.1173999996572093,55.825199999617325,231.0
1770302356,245,POST,POST /upload,103.300000,0.000000,49,51,52,53,55,58,74,90,110,110,110,3003,0,49,50.50136706626088,26.2710000001789,123.06330000001253,259.7715617715618
1770302356,245,,Aggregated,206.500000,0.000000,44,48,49,50,53,55,59,74,110,110,110,6010,0,36,26.990154026620434,1.1173999996572093,123.06330000001253,245.37620632279535
1770302357,250,GET,GET /,105.100000,0.000000,2,3,3,3,4,9,12,14,20,42,42,3135,0,2,3.521689601277547,1.1173999996572093,55.825199999617325,231.0
1770302357,250,POST,POST /upload,105.600000,0.000000,49,51,52,53,55,58,72,88,110,110,110,3122,0,49,50.49260659832869,26.2710000001789,123.06330000001253,259.7780269058296
1770302357,250,,Aggregated,210.700000,0.000000,17,48,49,50,53,55,59,72,110,110,110,6257,0,26,26.958352996641818,1.1173999996572093,123.06330000001253,245.35911778807736
1770302358,255,GET,GET /,108.500000,0.000000,2,3,3,4,5,9,12,15,20,42,42,3256,0,2,3.5158274877167774,1.1173999996572093,55.825199999617325,231.0
1770302358,255,POST,POST /upload,109.100000,0.000000,49,51,52,53,55,59,72,88,110,110,110,3251,0,49,50.48297031682038,26.2710000001789,123.06330000001253,259.77606890187633
1770302358,255,,Aggregated,217.600000,0.000000,42,48,49,51,53,55,60,72,110,110,110,6507,0,36,26.98135404948356,1.1173999996572093,123.06330000001253,245.37697863838943
1770302359,260,GET,GET /,109.800000,0.000000,2,3,3,4,5,8,12,15,20,42,42,3373,0,2,3.4882532167223705,0.8244000000559026,55.825199999617325,231.0
1770302359,260,POST,POST /upload,109.900000,0.000000,49,51,52,53,56,59,69,88,110,110,110,3369,0,49,50.47893176016156,26.2710000001789,123.06330000001253,259.7797566043336
