Framework,VCPU,Concurrency,Metric,N,Mean,Median,Std,Min,Max,CI95_Low,CI95_High,Shapiro_p,UseMedian,OutliersRemoved
node,4,400,TTA_ms,4,0.2522,0.2366,0.0693,0.1858,0.3496,0.1419,0.3624,0.396957,False,1
node,4,400,CPU_Usage,5,21833.2,30047.0,20286.1962,8.0,39731.0,-3355.4394,47021.8394,0.057922,False,0
node,4,400,RAM_MB,5,435407.2,7833.0,591352.8914,1024.0,1108992.0,-298854.3955,1169668.7955,0.010028,True,0
node,4,450,RPS,5,31.1523,35.3743,18.1365,0.3468,48.3785,8.6329,53.6718,0.123864,False,0
node,4,450,P50_ms,5,3220.0,2700.0,1261.7448,2100.0,5100.0,1653.3369,4786.6631,0.354996,False,0
node,4,450,P95_ms,4,7300.0,6150.0,3188.5211,4900.0,12000.0,2226.3514,12373.6486,0.079386,False,1
node,4,450,P99_ms,4,16250.0,15000.0,5500.0,11000.0,24000.0,7498.2727,25001.7273,0.336951,False,1
node,4,450,ErrorRate,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,2
node,4,450,TTA_ms,5,0.2574,0.1846,0.1116,0.1674,0.3979,0.1189,0.396,0.053731,False,0
node,4,450,CPU_Usage,5,28053.8,29573.0,14927.3854,9944.0,50273.0,9519.0029,46588.5971,0.808997,False,0
node,4,450,RAM_MB,4,4030.75,3103.5,3584.2816,769.0,9147.0,-1672.6419,9734.1419,0.282022,False,1
node,4,500,RPS,5,36.7411,36.4073,4.3603,31.7461,41.8406,31.327,42.1551,0.603184,False,0
node,4,500,P50_ms,5,2120.0,1900.0,356.3706,1800.0,2600.0,1677.5075,2562.4925,0.158996,False,0
node,4,500,P95_ms,5,6800.0,6000.0,2108.3169,5000.0,9700.0,4182.1789,9417.8211,0.244409,False,0
node,4,500,P99_ms,5,11620.0,12000.0,1634.6253,9100.0,13000.0,9590.3446,13649.6554,0.330621,False,0
node,4,500,ErrorRate,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,3
node,4,500,TTA_ms,4,0.1771,0.1604,0.0738,0.1174,0.2702,0.0596,0.2945,0.285511,False,1
node,4,500,CPU_Usage,5,17995.8,17228.0,14321.041,2151.0,40094.0,213.879,35777.721,0.766715,False,0
node,4,500,RAM_MB,4,2790.25,2769.0,327.4481,2434.0,3189.0,2269.207,3311.293,0.928906,False,1
python,4,1,RPS,4,3.699,3.7252,0.0709,3.5946,3.751,3.5862,3.8119,0.102663,False,1
python,4,1,P50_ms,5,120.0,120.0,0.0,120.0,120.0,120.0,120.0,1.0,False,0
python,4,1,P95_ms,5,608.0,610.0,37.6829,550.0,650.0,561.2105,654.7895,0.782763,False,0
python,4,1,P99_ms,5,772.0,780.0,37.0135,720.0,810.0,726.0417,817.9583,0.687076,False,0
python,4,1,ErrorRate,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0
python,4,1,TTA_ms,5,132.5339,132.2247,3.7914,127.648,137.7879,127.8262,137.2415,0.997067,False,0
python,4,1,CPU_Usage,5,337.2,331.0,33.0333,305.0,393.0,296.1837,378.2163,0.138341,False,0
python,4,1,RAM_MB,3,2990762.6667,2993152.0,22113.0265,2967552.0,3011584.0,2935830.8636,3045694.4697,0.821023,False,2
python,4,10,RPS,5,7.7288,8.2982,2.3458,4.4546,10.7764,4.8161,10.6414,0.915055,False,0
python,4,10,P50_ms,5,166.0,180.0,33.6155,110.0,190.0,124.2609,207.7391,0.093037,False,0
python,4,10,P95_ms,5,7700.0,7200.0,4217.8193,3200.0,14000.0,2462.8856,12937.1144,0.806397,False,0
python,4,10,P99_ms,5,26800.0,18000.0,17880.1566,13000.0,55000.0,4598.8533,49001.1467,0.160328,False,0
python,4,10,ErrorRate,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0
python,4,10,TTA_ms,5,617.0196,510.2322,296.3837,343.5306,1119.9404,249.0106,985.0285,0.13514,False,0
python,4,10,CPU_Usage,5,126.4,116.0,18.3248,111.0,151.0,103.6467,149.1533,0.133743,False,0
python,4,10,RAM_MB,5,2222694.4,2356224.0,1159844.3483,282624.0,3346432.0,782557.4292,3662831.3708,0.213915,False,0
python,4,25,RPS,5,6.887,7.3212,1.3293,4.7843,8.3038,5.2365,8.5375,0.578272,False,0
python,4,25,P50_ms,5,284.0,310.0,92.8978,160.0,390.0,168.6522,399.3478,0.792378,False,0
python,4,25,P95_ms,4,21750.0,21500.0,1707.8251,20000.0,24000.0,19032.4691,24467.5309,0.849971,False,1
python,4,25,P99_ms,4,35750.0,36000.0,4031.1289,31000.0,40000.0,29335.5744,42164.4256,0.795991,False,1
python,4,25,ErrorRate,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,2
python,4,25,TTA_ms,5,757.4456,736.3691,108.2639,632.3024,928.3694,623.0183,891.873,0.601119,False,0
python,4,25,CPU_Usage,5,103.8,103.0,5.8907,96.0,111.0,96.4858,111.1142,0.931152,False,0
python,4,25,RAM_MB,5,565648.0,9254.0,767058.6569,921.0,1441792.0,-386781.1188,1518077.1188,0.010315,True,0
python,4,50,RPS,5,5.6929,5.8759,0.6176,4.7231,6.264,4.926,6.4598,0.461687,False,0
python,4,50,P50_ms,4,632.5,640.0,56.1991,570.0,680.0,543.0748,721.9252,0.179086,False,1
python,4,50,P95_ms,4,45250.0,45000.0,1500.0,44000.0,47000.0,42863.1653,47636.8347,0.224231,False,1
python,4,50,P99_ms,5,65800.0,61000.0,12637.2465,54000.0,83000.0,50108.7859,81491.2141,0.363326,False,0
python,4,50,ErrorRate,5,0.7947,0.8889,0.4071,0.3933,1.3798,0.2892,1.3002,0.378129,False,0
python,4,50,TTA_ms,4,1248.329,1262.5619,79.1591,1145.3976,1322.7945,1122.3692,1374.2887,0.667688,False,1
